NOMBRE;LATITUD;LONGITUD;DIRECCIÓN;CONSORCIO ;TIPO DE BANCA;HORARIO DE TRABAJO;LOTERIA NACIONAL;LEIDSA;LOTO REAL;LOTEKA;DEPORTIVAS ;RECARGA TARJETAS;NUMERO DE EMPLEADOS;CANTIDAD DE MAQUINAS;PROMEDIO DE CLIENTES/ DIAS;CONDICIONES DE ACCESIBILIDAD VIAL (BUENA O MALA);PRIMER LUGAR ($RD)  1;SEGUNDO LUGAR ($RD) 2;TERCER LUGAR ($RD) 3;PRIMER LUGAR ($RD) 4;SEGUNDO LUGAR ($RD) 5;TERCER LUGAR ($RD) 6;PRIMER LUGAR ($RD) 7;SEGUNDO LUGAR ($RD) 8;TERCER LUGAR ($RD) 9;Primer y Segundo lugar ($RD)10;Primer y Tercer lugar ($RD)11;Segundo Y  Tercer lugar($RD) 12;Primer y Segundo lugar ($RD)13;Primer y Tercer lugar ($RD)14;Segundo Y  Tercer lugar($RD 15;Primer y Segundo lugar ($RD)16;Primer y Tercer lugar ($RD)17;Segundo Y  Tercer lugar($RD18;Primer, Segundo y Tercer lugar ($RD)19;Primer y Segundo lugar ($RD)20;Segundo Y  Tercer lugar($RD)21;Primer, Segundo y Tercer lugar ($RD)22;Primer y Segundo lugar ($RD)23;Segundo Y  Tercer lugar($RD)24
LOTEKA;18.48228;-69.89758056;Calle Juan Pablo Pina;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;125 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.482519;-69.89778333;Calle Juan De Morfa;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;1;1;126 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
HILARIO;18.482733;-69.89823056;Calle Luis Conrado Del Castillo;CONSORCIO DE BANCA HILARIO;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;1;1;127 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
HILARIO;18.482833;-69.898625;Calle Luis Conrado Del Castillo;CONSORCIO DE BANCA HILARIO;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;128 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LA FORTUNA;18.483114;-69.89871389;Calle Bartolomé Colon;CONSORCIO DE BANCA LA FORTUNA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;129 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
HILARIO;18.483092;-69.89921944;Calle Bartolomé Colon;CONSORCIO DE BANCA HILARIO;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;130 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
J.B;18.482833;-69.89920278;Calle Bartolomé Colon;CONSORCIO DE BANCA J.B;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;131 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
CBO;18.482105;-69.89946389;Calle Bartolomé Colon;CONSORCIO DE BANCA CBO;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;132 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
J.A.G;18.481358;-69.90067778;Calle Barahona;CONSORCIO DE BANCA J.A.G;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;133 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
QUISQUEYA;18.481819;-69.90209444;Calle La Guardia;CONSORCIO DE BANCA QUISQUEYA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;134 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
O&M;18.482142;-69.90342778;Calle Manuel  Ubaldo Gomez;CONSORCIO DE BANCA O&M;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;135 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
